,ID,CentroidFlag,TAZID,On,Off
550,1232,,,,
551,1225,,,,
552,1231,,,,
553,1230,,,,
554,1226,,,,
555,1227,,,,
556,1350,,,,
557,1351,,,,
558,1829,,,,
559,1826,,,,
560,1795,,,,
561,1828,,,,
562,1347,,,,
563,1827,,,,
564,1348,,,,
565,1239,,,,
566,1820,,,,
567,1821,,,,
568,606,,,,
569,607,,,,
570,1578,,,,
571,403,,,,
572,1468,,,,
573,2431,,,,
574,404,,,,
575,687,,,,
576,405,,,,
577,406,,,,
578,682,,,,
579,407,,,,
580,408,,,,
581,683,,,,
582,608,,,,
583,417,,,,
584,421,,,,
585,742,,,,
586,743,,,,
587,781,,,171.01515197753906,225.66561889648438
588,745,,,,
589,746,,,,
590,744,,,187.9279327392578,328.6596374511719
591,2402,,,,
592,780,,,203.4938201904297,183.7181396484375
593,779,,,,
594,774,,,,
595,747,,,,
596,773,,,75.45181274414062,36.63884735107422
597,775,,,,
598,772,,,,
599,734,,,,
600,735,,,113.48635864257812,251.87814331054688
601,736,,,,
602,733,,,,
603,732,,,,
604,731,,,246.24681091308594,96.73213195800781
605,748,,,99.76277923583984,162.8077850341797
606,752,,,,
607,751,,,,
608,1172,,,,
609,1173,,,,
610,1168,,,,
611,1169,,,,
612,1806,,,,
613,1246,,,,
614,1247,,,225.3463592529297,247.3991241455078
615,1248,,,,
616,1252,,,,
617,1254,,,,
618,1255,,,,
619,2176,,,,
620,1268,,,,
621,1271,,,,
622,1269,,,,
623,1253,,,,
624,1803,,,,
625,1804,,,,
626,1165,,,,
627,1805,,,,
628,1747,,,,
629,1802,,,,
630,1807,,,,
631,1164,,,74.37760162353516,256.3462219238281
632,1163,,,,
633,1166,,,,
634,1146,,,,
635,1161,,,232.4281005859375,474.684814453125
636,1160,,,,
637,1159,,,,
638,1158,,,,
639,1162,,,,
640,1150,,,,
641,646,,,,
642,2103,,,,
643,753,,,,
644,750,,,124.79707336425781,172.65969848632812
645,762,,,3.7412190437316895,73.31524658203125
646,754,,,,
647,755,,,,
648,749,,,,
649,769,,,,
650,757,,,94.10359954833984,0.0
651,756,,,47.2079963684082,7.316191673278809
652,644,,,9.017204284667969,2.6531693935394287
653,645,,,82.11189270019531,43.68315505981445
654,2328,,,,
655,2329,,,,
656,2330,,,,
657,2331,,,,
658,2333,,,,
659,2332,,,,
660,434,,,,
661,435,,,,
662,1911,,,,
663,2339,,,,
664,2338,,,,
665,2337,,,,
666,2336,,,,
667,441,,,,
668,433,,,,
669,2341,,,,
670,2340,,,,
671,2346,,,,
672,2345,,,,
673,442,,,,
674,431,,,,
675,437,,,,
676,438,,,,
677,439,,,,
678,643,,,,
679,617,,,52.70579147338867,44.164302825927734
680,2364,,,,
681,618,,,,
682,1293,,,,
683,599,,,,
684,600,,,,
685,681,,,,
686,614,,,,
687,619,,,,
688,620,,,,
689,621,,,92.0943374633789,29.916547775268555
690,627,,,,
691,622,,,,
692,623,,,,
693,610,,,,
694,609,,,,
695,611,,,,
696,1931,,,,
697,1929,,,,
698,2320,,,,
699,1930,,,,
700,2322,,,,
701,1927,,,,
702,1922,,,,
703,2321,,,,
704,602,,,,
705,604,,,,
706,1914,,,,
707,1925,,,,
708,2327,,,,
709,1923,,,,
710,1924,,,,
711,436,,,,
712,2324,,,,
713,688,,,,
714,689,,,,
715,685,,,,
716,686,,,,
717,684,,,,
718,1616,,,,
719,1311,,,,
720,1982,,,,
721,1983,,,,
722,2026,,,,
723,2035,,,,
724,1289,,,,
725,2022,,,,
726,2028,,,,
727,1287,,,,
728,1288,,,109.3202133178711,314.0248107910156
729,2024,,,,
730,1310,,,,
731,2029,,,,
732,2570,,,,
733,2025,,,,
734,2023,,,,
735,2027,,,,
736,2361,,,,
737,2349,,,,
738,2352,,,,
739,1910,,,,
740,2351,,,,
741,2348,,,,
742,2350,,,,
743,2357,,,,
744,2353,,,,
745,2358,,,,
746,2356,,,,
747,2359,,,,
