,ID,SPEED,FUNCL,LANES,AB_CAPACITY,BA_CAPACITY,COUNT,TIME,ALPHA,BETA,TYPE,IVTT,WalkTime,Existing,Connector
1497,2836,30.0,5,2,24000,24000,22600,0.3943620026111603,2.0,4.0,,0.3943620026111603,2.957715019583702,1,
1498,1241,30.0,4,2,26400,26400,22600,0.10312389582395554,1.5,4.0,,0.10312389582395554,0.7734292186796665,1,
1499,1238,30.0,4,2,26400,26400,16150,0.06209559738636017,1.5,4.0,,0.06209559738636017,0.46571698039770126,1,
1500,1240,30.0,5,2,24000,24000,1290,0.2325940728187561,2.0,4.0,,0.2325940728187561,1.7444555461406708,1,
1501,2831,30.0,5,2,24000,24000,1290,0.4390176236629486,2.0,4.0,,0.4390176236629486,3.2926321774721146,1,
1502,3360,30.0,5,2,24000,24000,17900,0.4771815240383148,2.0,4.0,,0.4771815240383148,3.578861430287361,1,
1503,1932,25.0,6,1,10400,10400,200,1.447474193572998,2.0,4.0,,1.447474193572998,9.046713709831238,1,
1504,3359,20.0,0,1,79992,79992,,1.7136703133583069,0.0,4.0,,0.34619602290066803,8.568351566791534,,
1505,3358,20.0,0,1,79992,79992,,1.3532811105251312,0.0,4.0,,0.27339012333841034,6.766405552625656,,
1506,3357,30.0,4,2,26400,26400,7000,0.5330660939216614,1.5,4.0,,0.5330660939216614,3.9979957044124603,1,
1507,2619,35.0,2,1,12000,12000,,0.15681542669023787,3.0,4.0,RAMP,0.15681542669023787,1.3721349835395813,1,
1508,2729,35.0,2,1,12000,12000,,0.23798300538744244,3.0,4.0,RAMP,0.23798300538744246,2.0823512971401215,1,
1509,2731,25.0,3,1,12800,12800,,0.3269286632537842,2.0,4.0,SERVICE ROAD,0.32692866325378417,2.043304145336151,1,
1510,2726,25.0,3,1,12800,12800,,0.06418736726045608,2.0,4.0,SERVICE ROAD,0.06418736726045608,0.40117104537785053,1,
1511,2618,30.0,4,2,26400,26400,10440,0.23343363404273987,1.5,4.0,,0.23343363404273987,1.750752255320549,1,
1512,2621,25.0,3,1,12800,12800,,0.050392131507396694,2.0,4.0,SERVICE ROAD,0.0503921315073967,0.31495082192122936,1,
1513,2727,25.0,3,1,12800,12800,,0.1766339063644409,2.0,4.0,SERVICE ROAD,0.17663390636444093,1.1039619147777557,1,
1514,2728,35.0,2,1,12000,12000,,0.11544446008546012,3.0,4.0,RAMP,0.11544446008546012,1.010139025747776,1,
1515,2616,25.0,3,1,12800,12800,,0.05189490169286728,2.0,4.0,SERVICE ROAD,0.05189490169286728,0.3243431355804205,1,
1516,1939,30.0,5,2,24000,24000,10440,0.05144217982888222,2.0,4.0,,0.05144217982888222,0.38581634871661663,1,
1517,2617,65.0,1,3,43200,43200,13400,0.5005875734182504,0.15,4.0,Highways,0.5005875734182504,8.13454806804657,1,
1518,2613,30.0,5,2,24000,24000,4900,0.05559675768017769,2.0,4.0,,0.05559675768017769,0.41697568260133266,1,
1519,2723,25.0,3,1,12800,12800,,0.060515803098678586,2.0,4.0,SERVICE ROAD,0.060515803098678586,0.3782237693667412,1,
1520,1938,30.0,5,2,24000,24000,4900,0.23108120262622833,2.0,4.0,,0.23108120262622833,1.7331090196967125,1,
1521,2842,30.0,5,2,24000,24000,4690,0.34900838136672974,2.0,4.0,,0.34900838136672974,2.617562860250473,1,
1522,1236,30.0,5,2,24000,24000,4690,0.029519297182559967,2.0,4.0,,0.029519297182559967,0.22139472886919975,1,
1523,2724,25.0,3,1,12800,12800,,0.34703950881958007,2.0,4.0,SERVICE ROAD,0.34703950881958007,2.1689969301223755,1,
1524,2725,35.0,2,1,12000,12000,,0.11008407814162117,3.0,4.0,RAMP,0.11008407814162117,0.9632356837391853,1,
1525,2615,65.0,1,3,43200,43200,13400,0.5603545629061185,0.15,4.0,Highways,0.5603545629061185,9.105761647224426,1,
1526,2721,25.0,3,1,12800,12800,,0.27348430752754216,2.0,4.0,SERVICE ROAD,0.2734843075275421,1.7092769220471382,1,
1527,3356,20.0,0,1,79992,79992,,0.6895633488893509,0.0,4.0,,0.13930572704835373,3.4478167444467545,,
1528,2722,35.0,2,1,12000,12000,,0.2134036762373788,3.0,4.0,RAMP,0.2134036762373788,1.8672821670770645,1,
1529,1942,30.0,4,2,26400,26400,7540,1.4502575397491455,1.5,4.0,,1.4502575397491455,10.876931548118591,1,
1530,3355,20.0,0,1,79992,79992,,0.8872437179088593,0.0,4.0,,0.17924115513310288,4.436218589544296,,
1531,2614,35.0,2,1,12000,12000,,0.40399930306843346,3.0,4.0,RAMP,0.4039993030684335,3.534993901848793,1,
1532,2841,65.0,1,3,43200,43200,1500,0.5758822697859545,0.15,4.0,Highways,0.5758822697859544,9.358086884021759,1,
